image,depth,depth_sparse
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000108.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000108.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000108.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000057.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000057.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000057.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000103.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000103.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000103.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000114.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000114.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000114.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000101.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000101.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000101.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000047.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000047.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000047.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000048.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000048.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000048.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000052.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000052.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000052.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000030.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000030.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000030.png
/home/lin/Documents/dataset/KITTI/KITTI_raw_data/2011_09_26_drive_0035_sync/image_02/data/0000000021.png,/home/lin/Documents/dataset/KITTI/depth_maps_filled/2011_09_26_drive_0035_sync/0000000021.png,/home/lin/Documents/dataset/KITTI/data_depth_annotated/train/2011_09_26_drive_0035_sync/proj_depth/groundtruth/image_02/0000000021.png
